Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,-1.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
1.150000,0.383546,1.366425,1.377884,1.363615,1.403897,1.374336,1.362378,1.380565
1.160000,0.388638,1.376607,1.377884,1.366161,1.396259,1.364154,1.367470,1.385657
1.170000,0.381000,1.363879,1.377884,1.366161,1.396259,1.366700,1.354739,1.375473
1.180000,0.386092,1.374062,1.375338,1.366161,1.388621,1.361609,1.364924,1.388204
1.190000,0.391184,1.371516,1.377884,1.366161,1.393713,1.371791,1.367470,1.380565
1.200000,0.383546,1.368970,1.380430,1.371253,1.403897,1.366700,1.354739,1.383111
1.210000,0.378454,1.376607,1.385521,1.366161,1.388621,1.359063,1.359832,1.380565
1.220000,0.386092,1.368970,1.372792,1.358523,1.396259,1.366700,1.362378,1.380565
1.230000,0.378454,1.363879,1.377884,1.366161,1.403897,1.366700,1.354739,1.372927
1.240000,0.386092,1.371516,1.382975,1.371253,1.396259,1.359063,1.362378,1.380565
1.250000,0.388638,1.374062,1.377884,1.366161,1.396259,1.366700,1.367470,1.388204
1.260000,0.386092,1.368970,1.372792,1.358523,1.393713,1.371791,1.362378,1.375473
1.270000,0.381000,1.368970,1.380430,1.371253,1.401351,1.359063,1.354739,1.380565
1.280000,0.388638,1.376607,1.377884,1.361069,1.388621,1.371791,1.364924,1.380565
1.290000,0.381000,1.363879,1.380430,1.366161,1.393713,1.366700,1.359832,1.378019
1.300000,0.391184,1.368970,1.372792,1.355977,1.393713,1.364154,1.359832,1.380565
1.310000,0.383546,1.376607,1.382975,1.363615,1.393713,1.359063,1.362378,1.388204
1.320000,0.386092,1.366425,1.372792,1.366161,1.403897,1.364154,1.362378,1.375473
1.330000,0.383546,1.379153,1.377884,1.366161,1.388621,1.364154,1.364924,1.385657
1.340000,0.383546,1.371516,1.372792,1.366161,1.401351,1.371791,1.359832,1.380565
1.350000,0.386092,1.368970,1.382975,1.371253,1.396259,1.359063,1.359832,1.383111
1.360000,0.391184,1.376607,1.377884,1.361069,1.393713,1.371791,1.364924,1.380565
1.370000,0.386092,1.368970,1.382975,1.371253,1.388621,1.361609,1.362378,1.380565
1.380000,0.391184,1.371516,1.375338,1.361069,1.396259,1.374336,1.364924,1.380565
1.390000,0.386092,1.363879,1.377884,1.371253,1.403897,1.366700,1.354739,1.375473
1.400000,0.383546,1.376607,1.385521,1.366161,1.393713,1.366700,1.359832,1.383111
1.410000,0.386092,1.368970,1.377884,1.363615,1.401351,1.364154,1.362378,1.375473
1.420000,0.388638,1.376607,1.375338,1.361069,1.393713,1.364154,1.367470,1.388204
1.430000,0.378454,1.363879,1.377884,1.366161,1.396259,1.369245,1.354739,1.375473
1.440000,0.386092,1.368970,1.372792,1.366161,1.403897,1.371791,1.359832,1.380565
1.450000,0.383546,1.368970,1.377884,1.366161,1.388621,1.361609,1.362378,1.378019
1.460000,0.381000,1.363879,1.375338,1.366161,1.401351,1.371791,1.354739,1.372927
1.470000,0.391184,1.371516,1.377884,1.363615,1.396259,1.371791,1.367470,1.380565
1.480000,0.378454,1.371516,1.382975,1.368707,1.396259,1.364154,1.354739,1.383111
1.490000,0.388638,1.368970,1.372792,1.361069,1.396259,1.371791,1.362378,1.380565
1.500000,0.386092,1.376607,1.385521,1.363615,1.393713,1.359063,1.352193,1.385657
1.510000,0.381000,1.366425,1.377884,1.366161,1.401351,1.366700,1.354739,1.375473
1.520000,0.386092,1.376607,1.377884,1.366161,1.391167,1.364154,1.367470,1.383111
1.530000,0.386092,1.368970,1.385521,1.371253,1.396259,1.359063,1.362378,1.383111
1.540000,0.378454,1.371516,1.385521,1.371253,1.396259,1.366700,1.357285,1.375473
1.550000,0.388638,1.368970,1.377884,1.361069,1.388621,1.371791,1.364924,1.383111
1.560000,0.378454,1.366425,1.375338,1.366161,1.403897,1.364154,1.354739,1.372927
1.570000,0.383546,1.371516,1.372792,1.363615,1.401351,1.374336,1.359832,1.383111
1.580000,0.381000,1.368970,1.385521,1.371253,1.393713,1.366700,1.359832,1.383111
1.590000,0.388638,1.376607,1.377884,1.363615,1.391167,1.366700,1.370016,1.388204
1.600000,0.386092,1.371516,1.370246,1.366161,1.401351,1.369245,1.359832,1.378019
1.610000,0.381000,1.368970,1.375338,1.373799,1.393713,1.364154,1.354739,1.385657
1.620000,0.386092,1.371516,1.375338,1.358523,1.388621,1.371791,1.364924,1.380565
1.630000,0.378454,1.368970,1.377884,1.366161,1.401351,1.364154,1.354739,1.375473
1.640000,0.386092,1.368970,1.385521,1.366161,1.391167,1.361609,1.362378,1.383111
1.650000,0.388638,1.376607,1.377884,1.361069,1.396259,1.364154,1.364924,1.388204
1.660000,0.386092,1.368970,1.372792,1.361069,1.396259,1.364154,1.362378,1.380565
1.670000,0.386092,1.368970,1.377884,1.366161,1.401351,1.369245,1.359832,1.378019
1.680000,0.378454,1.361334,1.380430,1.366161,1.396259,1.364154,1.357285,1.375473
1.690000,0.378454,1.363879,1.382975,1.371253,1.396259,1.366700,1.354739,1.383111
1.700000,0.386092,1.371516,1.377884,1.366161,1.396259,1.366700,1.354739,1.375473
1.710000,0.386092,1.368970,1.385521,1.366161,1.388621,1.359063,1.362378,1.383111
1.720000,0.383546,1.368970,1.377884,1.366161,1.401351,1.371791,1.362378,1.380565
1.730000,0.383546,1.368970,1.382975,1.371253,1.396259,1.359063,1.359832,1.375473
1.740000,0.391184,1.376607,1.375338,1.361069,1.391167,1.364154,1.367470,1.380565
1.750000,0.383546,1.366425,1.372792,1.371253,1.403897,1.364154,1.362378,1.375473
1.760000,0.381000,1.363879,1.385521,1.371253,1.396259,1.369245,1.362378,1.383111
1.770000,0.388638,1.363879,1.372792,1.366161,1.393713,1.369245,1.364924,1.375473
1.780000,0.386092,1.366425,1.372792,1.371253,1.403897,1.364154,1.354739,1.375473
1.790000,0.383546,1.376607,1.375338,1.366161,1.391167,1.359063,1.364924,1.383111
1.800000,0.388638,1.371516,1.372792,1.358523,1.396259,1.366700,1.359832,1.380565
1.810000,0.386092,1.368970,1.372792,1.361069,1.401351,1.371791,1.359832,1.375473
1.820000,0.381000,1.371516,1.375338,1.371253,1.393713,1.359063,1.354739,1.383111
1.830000,0.386092,1.366425,1.370246,1.366161,1.393713,1.374336,1.362378,1.375473
1.840000,0.381000,1.368970,1.385521,1.363615,1.396259,1.359063,1.362378,1.383111
1.850000,0.391184,1.376607,1.372792,1.358523,1.396259,1.366700,1.367470,1.385657
1.860000,0.386092,1.368970,1.377884,1.366161,1.391167,1.359063,1.359832,1.383111
1.870000,0.383546,1.363879,1.370246,1.366161,1.401351,1.366700,1.359832,1.375473
1.880000,0.386092,1.374062,1.385521,1.363615,1.396259,1.361609,1.359832,1.385657
1.890000,0.388638,1.368970,1.375338,1.361069,1.393713,1.371791,1.364924,1.380565
1.900000,0.386092,1.363879,1.372792,1.371253,1.401351,1.366700,1.359832,1.372927
1.910000,0.378454,1.366425,1.377884,1.371253,1.393713,1.366700,1.357285,1.375473
1.920000,0.386092,1.374062,1.377884,1.366161,1.391167,1.359063,1.362378,1.380565
1.930000,0.386092,1.368970,1.372792,1.361069,1.403897,1.374336,1.362378,1.380565
1.940000,0.375908,1.363879,1.377884,1.368707,1.393713,1.364154,1.354739,1.372927
1.950000,0.386092,1.371516,1.375338,1.363615,1.391167,1.366700,1.359832,1.388204
1.960000,0.388638,1.371516,1.377884,1.358523,1.391167,1.371791,1.364924,1.380565
1.970000,0.388638,1.363879,1.370246,1.366161,1.393713,1.371791,1.362378,1.375473
1.980000,0.378454,1.366425,1.377884,1.366161,1.396259,1.364154,1.354739,1.375473
1.990000,0.391184,1.374062,1.382975,1.358523,1.388621,1.366700,1.362378,1.385657
2.000000,0.391184,1.363879,1.372792,1.366161,1.396259,1.371791,1.359832,1.375473
2.010000,0.375908,1.368970,1.382975,1.368707,1.393713,1.364154,1.357285,1.380565
2.020000,0.383546,1.368970,1.372792,1.358523,1.396259,1.371791,1.359832,1.378019
2.030000,0.381000,1.371516,1.377884,1.368707,1.403897,1.364154,1.357285,1.383111
2.040000,0.383546,1.376607,1.382975,1.358523,1.391167,1.364154,1.362378,1.385657
2.050000,0.386092,1.366425,1.370246,1.371253,1.401351,1.364154,1.362378,1.375473
2.060000,0.378454,1.368970,1.377884,1.371253,1.401351,1.361609,1.354739,1.380565
2.070000,0.386092,1.376607,1.385521,1.368707,1.396259,1.366700,1.362378,1.388204
2.080000,0.383546,1.363879,1.372792,1.363615,1.396259,1.371791,1.359832,1.375473
2.090000,0.383546,1.371516,1.377884,1.371253,1.401351,1.366700,1.362378,1.375473
2.100000,0.381000,1.368970,1.385521,1.366161,1.396259,1.361609,1.362378,1.380565
2.110000,0.378454,1.376607,1.385521,1.366161,1.396259,1.359063,1.359832,1.388204
2.120000,0.386092,1.376607,1.380430,1.361069,1.388621,1.366700,1.362378,1.385657
2.130000,0.391184,1.374062,1.372792,1.361069,1.396259,1.366700,1.364924,1.380565
2.140000,0.386092,1.371516,1.377884,1.361069,1.403897,1.371791,1.359832,1.380565
2.150000,0.383546,1.363879,1.377884,1.366161,1.401351,1.369245,1.359832,1.375473
2.160000,0.383546,1.363879,1.372792,1.371253,1.403897,1.364154,1.362378,1.375473
2.170000,0.378454,1.368970,1.375338,1.366161,1.396259,1.361609,1.354739,1.383111
2.180000,0.391184,1.368970,1.380430,1.358523,1.396259,1.364154,1.362378,1.380565
2.190000,0.378454,1.363879,1.377884,1.368707,1.396259,1.364154,1.354739,1.375473
2.200000,0.386092,1.371516,1.382975,1.368707,1.391167,1.361609,1.362378,1.383111
2.210000,0.386092,1.368970,1.372792,1.358523,1.403897,1.369245,1.367470,1.383111
2.220000,0.378454,1.371516,1.377884,1.363615,1.396259,1.359063,1.354739,1.380565
2.230000,0.391184,1.376607,1.377884,1.366161,1.388621,1.364154,1.364924,1.385657
2.240000,0.391184,1.374062,1.377884,1.361069,1.391167,1.374336,1.367470,1.380565
2.250000,0.386092,1.363879,1.377884,1.371253,1.401351,1.366700,1.362378,1.375473
2.260000,0.378454,1.368970,1.375338,1.371253,1.401351,1.359063,1.357285,1.383111
2.270000,0.386092,1.376607,1.377884,1.366161,1.391167,1.366700,1.359832,1.388204
2.280000,0.388638,1.371516,1.372792,1.366161,1.396259,1.374336,1.367470,1.380565
2.290000,0.386092,1.363879,1.377884,1.366161,1.401351,1.371791,1.359832,1.383111
2.300000,0.378454,1.366425,1.377884,1.371253,1.393713,1.364154,1.354739,1.375473
2.310000,0.383546,1.376607,1.385521,1.366161,1.396259,1.359063,1.362378,1.385657
2.320000,0.388638,1.368970,1.372792,1.366161,1.396259,1.371791,1.364924,1.380565
2.330000,0.386092,1.363879,1.370246,1.366161,1.401351,1.366700,1.362378,1.375473
2.340000,0.386092,1.371516,1.375338,1.373799,1.393713,1.364154,1.354739,1.383111
2.350000,0.386092,1.366425,1.377884,1.371253,1.401351,1.364154,1.359832,1.372927
2.360000,0.378454,1.368970,1.380430,1.371253,1.396259,1.361609,1.354739,1.380565
2.370000,0.378454,1.368970,1.377884,1.366161,1.393713,1.359063,1.354739,1.380565
2.380000,0.383546,1.376607,1.380430,1.358523,1.388621,1.366700,1.359832,1.388204
2.390000,0.388638,1.368970,1.380430,1.361069,1.388621,1.369245,1.364924,1.380565
2.400000,0.375908,1.368970,1.377884,1.363615,1.396259,1.361609,1.359832,1.380565
2.410000,0.391184,1.368970,1.372792,1.366161,1.396259,1.369245,1.367470,1.380565
2.420000,0.386092,1.376607,1.375338,1.363615,1.391167,1.361609,1.359832,1.388204
2.430000,0.383546,1.366425,1.380430,1.363615,1.401351,1.371791,1.357285,1.380565
2.440000,0.383546,1.371516,1.385521,1.363615,1.391167,1.359063,1.362378,1.380565
2.450000,0.378454,1.366425,1.377884,1.371253,1.403897,1.364154,1.359832,1.375473
2.460000,0.386092,1.368970,1.375338,1.358523,1.388621,1.364154,1.367470,1.383111
2.470000,0.378454,1.366425,1.380430,1.363615,1.401351,1.364154,1.352193,1.375473
2.480000,0.391184,1.368970,1.375338,1.355977,1.388621,1.374336,1.364924,1.380565
2.490000,0.386092,1.368970,1.377884,1.368707,1.401351,1.361609,1.354739,1.380565
2.500000,0.386092,1.376607,1.380430,1.361069,1.388621,1.364154,1.364924,1.388204
2.510000,0.383546,1.363879,1.377884,1.371253,1.401351,1.364154,1.354739,1.375473
2.520000,0.383546,1.371516,1.372792,1.363615,1.393713,1.371791,1.364924,1.380565
2.530000,0.378454,1.368970,1.385521,1.366161,1.396259,1.359063,1.354739,1.380565
2.540000,0.383546,1.376607,1.385521,1.366161,1.388621,1.366700,1.359832,1.388204
2.550000,0.391184,1.363879,1.370246,1.366161,1.393713,1.371791,1.364924,1.380565
2.560000,0.381000,1.368970,1.377884,1.368707,1.396259,1.361609,1.359832,1.383111
2.570000,0.391184,1.371516,1.377884,1.361069,1.391167,1.364154,1.367470,1.380565
2.580000,0.381000,1.368970,1.377884,1.371253,1.393713,1.359063,1.354739,1.380565
2.590000,0.383546,1.376607,1.385521,1.366161,1.388621,1.361609,1.362378,1.388204
2.600000,0.391184,1.371516,1.377884,1.366161,1.396259,1.371791,1.364924,1.383111
2.610000,0.378454,1.376607,1.382975,1.366161,1.396259,1.361609,1.362378,1.380565
2.620000,0.391184,1.368970,1.377884,1.358523,1.396259,1.371791,1.364924,1.380565
2.630000,0.388638,1.371516,1.377884,1.363615,1.396259,1.364154,1.359832,1.385657
